date,open,high,low,close,vwap,vol
1741536000,1.0000,1.0003,1.0000,1.0001,1.0001,1594614.71632921
1741550400,1.0001,1.0002,0.9999,1.0002,1.0000,1957537.67118839
1741564800,1.0001,1.0002,0.9998,1.0000,1.0000,3885694.18463265
1741579200,1.0001,1.0001,0.9999,0.9999,0.9999,2382673.73666004
1741593600,1.0000,1.0001,0.9997,0.9998,0.9998,8577713.74049180
1741608000,0.9999,1.0007,0.9998,1.0002,0.9999,4203480.42960161
1741622400,1.0003,1.0007,1.0002,1.0007,1.0005,2345401.03212707
1741636800,1.0006,1.0007,1.0003,1.0004,1.0004,3168292.52337684
1741651200,1.0003,1.0005,1.0002,1.0003,1.0003,5641334.86872857
1741665600,1.0003,1.0004,1.0001,1.0002,1.0001,2924150.17644034
1741680000,1.0001,1.0002,1.0000,1.0000,1.0001,3288295.77094563
1741694400,1.0000,1.0003,0.9999,1.0002,1.0001,3817141.47288246
1741708800,1.0002,1.0003,1.0000,1.0002,1.0001,4394432.70319523
1741723200,1.0003,1.0003,1.0000,1.0001,1.0001,1394645.19835139
1741737600,1.0002,1.0003,1.0000,1.0002,1.0001,1708827.95298126
1741752000,1.0001,1.0003,1.0001,1.0003,1.0002,1009462.63304755
1741766400,1.0003,1.0041,0.9999,1.0001,1.0003,3642463.19030060
1741780800,1.0001,1.0003,1.0000,1.0001,1.0001,2632564.03479751
1741795200,1.0001,1.0002,1.0000,1.0001,1.0000,3203721.63379400
1741809600,1.0000,1.0002,1.0000,1.0001,1.0000,1945504.76820594
1741824000,1.0001,1.0002,1.0000,1.0001,1.0001,3670740.62755083
1741838400,1.0002,1.0002,0.9998,0.9999,1.0000,4001102.67802119
1741852800,0.9999,1.0002,0.9998,1.0002,1.0000,3655684.44232532
1741867200,1.0002,1.0002,1.0000,1.0001,1.0001,2478299.67809209
1741881600,1.0001,1.0005,1.0000,1.0004,1.0002,7681896.95505211
1741896000,1.0004,1.0004,1.0003,1.0003,1.0003,5212467.37100100
1741910400,1.0003,1.0004,1.0001,1.0002,1.0002,6510764.31613616
1741924800,1.0002,1.0002,1.0000,1.0001,1.0001,3493517.40499809
1741939200,1.0000,1.0015,0.9999,1.0001,1.0001,4392377.00871643
1741953600,1.0001,1.0001,0.9998,0.9999,0.9999,4781244.90673536
1741968000,0.9999,1.0000,0.9997,0.9998,0.9999,7293104.20237017
1741982400,0.9998,0.9999,0.9997,0.9999,0.9997,892528.79434717
1741996800,0.9999,0.9999,0.9997,0.9999,0.9998,2578774.73565250
1742011200,0.9999,0.9999,0.9998,0.9999,0.9998,3379453.32151447
1742025600,0.9999,1.0000,0.9997,0.9999,0.9998,1316173.91543436
1742040000,0.9998,1.0000,0.9997,1.0000,0.9998,2364070.55324562
1742054400,1.0000,1.0000,0.9998,0.9999,0.9999,2748581.85113117
1742068800,0.9999,0.9999,0.9998,0.9998,0.9998,3977859.73825972
1742083200,0.9998,0.9999,0.9997,0.9998,0.9998,4735030.41820225
1742097600,0.9998,0.9999,0.9998,0.9999,0.9998,1551599.81535466
1742112000,0.9999,1.0000,0.9998,0.9999,0.9999,6563835.82557703
1742126400,0.9999,1.0000,0.9998,0.9999,0.9999,5406304.50971028
